hazard_label,surface_type,weather_condition,bounding_box_area_px,aspect_ratio,intensity_contrast,edge_density,depth_est_cm,repair_urgency_score,is_hazardous
Pothole,Asphalt,Clear,4004.3,1.34,69.74,0.505,5.6,0.406,1
Pothole,Asphalt,Clear,3532.2,1.7,62.78,0.315,5.1,0.295,1
Road Debris,Asphalt,Night / Low Light,3258.2,1.21,51.36,0.299,7.7,0.612,1
Normal Clear,Asphalt,Clear,53.7,1.3,14.44,0.057,0.0,0.02,0
Normal Clear,Asphalt,Overcast,103.3,1.13,11.01,0.022,0.0,0.02,0
Pothole,Asphalt,Clear,6644.7,1.07,85.95,0.522,14.0,0.778,1
Normal Clear,Asphalt,Rainy,90.9,0.64,9.67,0.083,0.0,0.02,0
Normal Clear,Asphalt,Clear,99.6,1.09,14.61,0.066,0.0,0.02,0
Road Debris,Gravel,Clear,1294.0,2.05,55.35,0.416,3.1,0.509,1
Road Debris,Concrete,Clear,1089.7,1.66,74.53,0.24,4.6,0.472,1
Surface Crack,Gravel,Overcast,1546.4,2.99,41.92,0.763,2.5,0.561,1
Pothole,Asphalt,Overcast,5141.2,0.67,79.94,0.495,13.3,0.656,1
Surface Crack,Asphalt,Rainy,2918.6,5.01,48.91,0.637,3.1,0.545,1
Normal Clear,Concrete,Clear,143.5,0.69,10.86,0.05,0.0,0.02,0
Pothole,Asphalt,Overcast,3943.4,0.87,62.61,0.388,7.4,0.592,1
Pothole,Asphalt,Clear,5228.8,1.41,58.7,0.46,13.2,0.726,1
Pothole,Asphalt,Clear,6192.8,1.11,61.11,0.49,8.8,0.603,1
Pothole,Asphalt,Rainy,3811.8,1.38,76.15,0.425,5.4,0.415,1
Normal Clear,Asphalt,Overcast,219.8,1.09,12.12,0.075,0.0,0.02,0
Normal Clear,Asphalt,Clear,166.5,1.15,14.44,0.07,0.0,0.02,0
Surface Crack,Concrete,Clear,1994.9,4.33,36.94,0.667,2.1,0.568,1
Pothole,Asphalt,Overcast,3807.9,1.29,70.23,0.424,12.8,0.653,1
Surface Crack,Asphalt,Clear,1782.5,3.95,53.89,0.5,3.0,0.693,1
Surface Crack,Concrete,Clear,1177.4,3.77,54.31,0.593,0.5,0.326,1
Pothole,Asphalt,Rainy,3792.1,1.3,58.29,0.338,11.8,0.705,1
Surface Crack,Asphalt,Overcast,1224.2,1.47,44.92,0.612,3.2,0.61,1
Surface Crack,Concrete,Rainy,1366.1,4.2,38.63,0.825,2.6,0.599,1
Road Debris,Asphalt,Overcast,3138.0,0.44,46.67,0.223,11.2,0.545,1
Road Debris,Asphalt,Night / Low Light,3073.2,1.31,49.67,0.338,3.0,0.497,1
Pothole,Asphalt,Clear,4018.7,1.43,55.16,0.357,6.3,0.422,1
Surface Crack,Asphalt,Overcast,1081.2,3.33,41.88,0.786,0.8,0.333,1
Road Debris,Asphalt,Clear,2469.2,1.36,49.87,0.27,4.7,0.6,1
Road Debris,Concrete,Clear,4060.6,1.65,56.08,0.285,10.3,0.546,1
Normal Clear,Asphalt,Rainy,194.4,1.0,14.48,0.066,0.0,0.02,0
Normal Clear,Asphalt,Clear,192.4,1.04,6.49,0.111,0.0,0.02,0
Pothole,Asphalt,Clear,4345.3,1.12,62.69,0.39,8.5,0.528,1
Pothole,Asphalt,Clear,6351.1,0.77,69.37,0.411,10.3,0.668,1
Road Debris,Asphalt,Clear,3258.3,1.22,50.65,0.301,3.1,0.485,1
Pothole,Asphalt,Overcast,6221.0,0.68,58.4,0.376,14.8,0.863,1
Road Debris,Asphalt,Rainy,2350.2,1.94,41.88,0.292,9.7,0.479,1
Normal Clear,Asphalt,Overcast,189.1,1.01,16.18,0.074,0.0,0.02,0
Road Debris,Asphalt,Clear,2843.1,1.48,54.04,0.316,10.9,0.459,1
Surface Crack,Asphalt,Clear,2092.2,3.08,46.53,0.614,0.7,0.39,1
Road Debris,Concrete,Clear,3790.3,0.76,48.15,0.294,9.5,0.333,1
Surface Crack,Asphalt,Clear,3054.1,3.83,29.29,0.77,2.1,0.476,1
Road Debris,Asphalt,Clear,2608.6,1.92,60.84,0.274,7.6,0.552,1
Normal Clear,Asphalt,Night / Low Light,88.0,1.2,10.34,0.132,0.0,0.02,0
Surface Crack,Concrete,Overcast,1587.1,3.57,38.42,0.6,1.5,0.411,1
Normal Clear,Asphalt,Overcast,212.1,1.15,12.26,0.13,0.0,0.02,0
Normal Clear,Concrete,Clear,136.6,1.26,12.7,0.049,0.0,0.02,0
Pothole,Concrete,Overcast,6717.6,1.5,66.55,0.478,8.6,0.604,1
Pothole,Concrete,Clear,2127.5,0.87,64.78,0.412,16.3,0.749,1
Pothole,Asphalt,Clear,4749.1,0.8,90.17,0.515,4.7,0.431,1
Pothole,Asphalt,Overcast,2772.5,1.8,82.15,0.283,7.4,0.426,1
Pothole,Concrete,Rainy,3073.3,1.33,70.11,0.408,14.4,0.641,1
Normal Clear,Gravel,Clear,236.2,0.87,15.86,0.094,0.0,0.02,0
Pothole,Concrete,Clear,5227.6,1.01,47.31,0.418,14.1,0.772,1
Surface Crack,Asphalt,Clear,2269.9,3.17,56.27,0.637,2.9,0.551,1
Normal Clear,Asphalt,Night / Low Light,211.7,1.45,7.64,0.074,0.0,0.02,0
Pothole,Asphalt,Rainy,4904.4,1.88,59.19,0.345,5.6,0.38,1
Normal Clear,Concrete,Overcast,134.1,0.84,14.28,0.122,0.0,0.02,0
Surface Crack,Asphalt,Clear,2082.0,3.91,37.11,0.702,1.9,0.482,1
Pothole,Asphalt,Clear,4575.4,1.07,49.23,0.329,13.4,0.716,1
Normal Clear,Concrete,Rainy,69.5,1.15,7.67,0.07,0.0,0.02,0
Road Debris,Asphalt,Rainy,3819.8,0.94,39.67,0.316,5.4,0.601,1
Normal Clear,Concrete,Clear,165.9,1.07,18.35,0.039,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,80.3,0.97,12.25,0.069,0.0,0.02,0
Normal Clear,Asphalt,Overcast,273.0,0.94,9.8,0.084,0.0,0.02,0
Surface Crack,Asphalt,Overcast,2382.5,3.0,43.82,0.75,2.3,0.587,1
Pothole,Concrete,Overcast,1137.7,1.33,50.88,0.46,17.2,0.632,1
Normal Clear,Asphalt,Overcast,189.8,1.27,11.1,0.065,0.0,0.02,0
Normal Clear,Asphalt,Rainy,109.0,0.77,16.55,0.069,0.0,0.02,0
Normal Clear,Gravel,Overcast,165.1,0.63,16.01,0.098,0.0,0.02,0
Surface Crack,Asphalt,Clear,993.2,4.08,45.04,0.605,2.5,0.41,1
Surface Crack,Asphalt,Clear,1621.1,3.04,44.45,0.509,2.9,0.481,1
Normal Clear,Asphalt,Clear,140.8,1.02,8.7,0.102,0.0,0.02,0
Surface Crack,Asphalt,Rainy,922.7,3.65,33.21,0.62,3.5,0.683,1
Normal Clear,Asphalt,Clear,206.2,1.14,12.77,0.126,0.0,0.02,0
Normal Clear,Asphalt,Overcast,171.0,1.26,14.43,0.025,0.0,0.02,0
Surface Crack,Asphalt,Clear,2582.9,3.95,44.58,0.678,2.8,0.588,1
Normal Clear,Asphalt,Clear,136.5,0.92,11.55,0.119,0.0,0.02,0
Normal Clear,Concrete,Rainy,70.5,0.8,16.88,0.124,0.0,0.02,0
Pothole,Asphalt,Clear,3708.6,1.7,79.71,0.399,17.9,0.732,1
Normal Clear,Asphalt,Clear,130.1,0.72,15.95,0.057,0.0,0.02,0
Road Debris,Asphalt,Clear,1798.2,1.9,36.17,0.209,11.9,0.333,1
Normal Clear,Asphalt,Rainy,139.6,1.0,15.96,0.055,0.0,0.02,0
Surface Crack,Asphalt,Clear,1922.3,4.42,43.81,0.475,2.4,0.588,1
Normal Clear,Asphalt,Night / Low Light,137.7,1.09,14.35,0.08,0.0,0.02,0
Surface Crack,Concrete,Night / Low Light,2125.5,2.91,57.46,0.749,1.6,0.512,1
Pothole,Asphalt,Clear,3128.2,1.08,51.25,0.415,17.6,0.84,1
Normal Clear,Gravel,Clear,162.9,0.79,14.38,0.062,0.0,0.02,0
Pothole,Gravel,Clear,4110.5,1.27,69.24,0.422,16.4,0.806,1
Surface Crack,Asphalt,Night / Low Light,2011.4,5.41,45.02,0.693,1.5,0.4,1
Normal Clear,Asphalt,Clear,213.5,0.75,17.43,0.076,0.0,0.02,0
Normal Clear,Asphalt,Clear,170.9,0.9,15.69,0.092,0.0,0.02,0
Road Debris,Concrete,Night / Low Light,1767.3,1.03,40.4,0.311,10.1,0.448,1
Road Debris,Asphalt,Rainy,2864.4,2.11,53.0,0.371,2.5,0.356,1
Surface Crack,Asphalt,Clear,1154.6,4.17,41.34,0.755,1.3,0.352,1
Surface Crack,Asphalt,Clear,1015.9,4.33,42.99,0.673,3.2,0.711,1
Surface Crack,Concrete,Overcast,2222.0,1.85,13.62,0.678,1.9,0.52,1
Normal Clear,Concrete,Overcast,112.4,1.11,11.76,0.106,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,93.4,1.03,13.86,0.084,0.0,0.02,0
Normal Clear,Concrete,Rainy,157.5,1.24,5.28,0.084,0.0,0.02,0
Normal Clear,Asphalt,Rainy,89.5,1.15,8.65,0.01,0.0,0.02,0
Pothole,Asphalt,Overcast,5437.8,1.12,72.28,0.534,9.1,0.607,1
Surface Crack,Concrete,Overcast,1769.1,4.21,44.08,0.532,2.5,0.546,1
Pothole,Asphalt,Clear,6008.5,0.74,75.44,0.293,17.4,0.953,1
Road Debris,Asphalt,Overcast,635.1,1.42,49.37,0.258,10.3,0.576,1
Surface Crack,Asphalt,Clear,1925.5,3.31,42.48,0.65,3.5,0.638,1
Normal Clear,Concrete,Clear,95.5,1.22,13.18,0.092,0.0,0.02,0
Surface Crack,Concrete,Night / Low Light,1316.1,3.29,43.59,0.497,1.8,0.436,1
Pothole,Asphalt,Clear,3851.8,0.98,79.8,0.358,5.9,0.36,1
Pothole,Concrete,Overcast,7098.6,1.52,80.3,0.513,8.1,0.68,1
Normal Clear,Asphalt,Clear,92.9,0.77,9.56,0.038,0.0,0.02,0
Road Debris,Asphalt,Rainy,1797.7,1.34,60.04,0.305,4.1,0.485,1
Pothole,Asphalt,Overcast,3733.0,1.15,76.24,0.369,15.3,0.723,1
Pothole,Asphalt,Overcast,3178.6,1.67,70.96,0.452,4.2,0.323,1
Normal Clear,Asphalt,Clear,176.5,0.79,12.46,0.079,0.0,0.02,0
Pothole,Gravel,Clear,4885.9,1.23,72.56,0.395,8.5,0.613,1
Normal Clear,Asphalt,Rainy,154.1,0.76,2.03,0.079,0.0,0.02,0
Normal Clear,Asphalt,Clear,162.5,0.88,12.54,0.093,0.0,0.02,0
Pothole,Asphalt,Overcast,5692.7,1.13,67.46,0.406,4.0,0.402,1
Pothole,Asphalt,Overcast,3061.0,1.33,74.53,0.332,4.8,0.274,1
Normal Clear,Gravel,Clear,127.5,1.36,15.59,0.051,0.0,0.02,0
Surface Crack,Asphalt,Clear,2318.8,4.49,44.17,0.579,0.8,0.339,1
Surface Crack,Asphalt,Clear,2767.7,4.84,52.48,0.687,2.0,0.475,1
Normal Clear,Concrete,Overcast,114.3,1.22,18.32,0.139,0.0,0.02,0
Normal Clear,Asphalt,Clear,166.6,1.17,13.24,0.122,0.0,0.02,0
Normal Clear,Asphalt,Clear,171.7,1.16,7.46,0.073,0.0,0.02,0
Normal Clear,Asphalt,Clear,190.7,1.14,15.6,0.084,0.0,0.02,0
Surface Crack,Asphalt,Rainy,1408.8,3.74,45.38,0.674,1.5,0.405,1
Pothole,Gravel,Clear,4556.0,1.04,57.99,0.401,15.2,0.796,1
Normal Clear,Concrete,Clear,163.3,0.9,14.35,0.055,0.0,0.02,0
Road Debris,Asphalt,Overcast,1892.7,1.75,58.57,0.223,6.3,0.658,1
Surface Crack,Concrete,Overcast,1459.5,5.78,61.18,0.833,1.3,0.309,1
Normal Clear,Asphalt,Night / Low Light,47.8,1.24,10.36,0.146,0.0,0.02,0
Pothole,Asphalt,Clear,3258.3,1.1,74.49,0.458,13.1,0.636,1
Surface Crack,Asphalt,Clear,2035.1,2.66,50.21,0.693,3.3,0.601,1
Pothole,Asphalt,Rainy,3309.9,0.99,52.72,0.432,14.3,0.74,1
Surface Crack,Asphalt,Clear,1508.0,3.79,45.51,0.577,2.7,0.601,1
Pothole,Asphalt,Overcast,3419.5,1.09,83.27,0.374,13.5,0.746,1
Pothole,Gravel,Rainy,3284.8,0.67,62.65,0.38,13.7,0.664,1
Pothole,Asphalt,Clear,5402.6,1.03,57.84,0.276,7.3,0.495,1
Road Debris,Asphalt,Overcast,3790.3,1.58,61.62,0.21,8.7,0.43,1
Normal Clear,Asphalt,Overcast,249.6,1.2,10.17,0.057,0.0,0.02,0
Road Debris,Asphalt,Clear,3508.9,1.57,46.49,0.291,9.5,0.459,1
Normal Clear,Asphalt,Rainy,200.0,0.84,8.61,0.105,0.0,0.02,0
Surface Crack,Asphalt,Clear,2353.2,4.74,34.47,0.603,2.1,0.517,1
Surface Crack,Concrete,Clear,2192.9,4.38,37.5,0.839,2.7,0.495,1
Normal Clear,Asphalt,Clear,218.1,1.01,15.06,0.124,0.0,0.02,0
Pothole,Asphalt,Rainy,4794.6,1.12,47.54,0.413,14.6,0.737,1
Normal Clear,Asphalt,Overcast,171.6,0.97,12.68,0.074,0.0,0.02,0
Pothole,Asphalt,Rainy,6195.7,0.92,62.42,0.458,11.7,0.671,1
Normal Clear,Asphalt,Clear,156.2,0.96,10.96,0.084,0.0,0.02,0
Pothole,Concrete,Rainy,3506.0,1.24,73.41,0.437,15.4,0.761,1
Normal Clear,Asphalt,Clear,211.7,0.8,9.21,0.113,0.0,0.02,0
Road Debris,Asphalt,Overcast,1174.3,1.28,47.68,0.206,7.9,0.481,1
Normal Clear,Asphalt,Clear,157.0,1.05,15.54,0.133,0.0,0.02,0
Pothole,Asphalt,Clear,2862.4,1.18,64.68,0.455,5.3,0.293,1
Road Debris,Asphalt,Clear,2990.9,1.38,54.21,0.288,2.5,0.477,1
Normal Clear,Concrete,Night / Low Light,199.4,1.09,15.67,0.071,0.0,0.02,0
Road Debris,Asphalt,Clear,1908.8,1.07,58.59,0.238,6.2,0.638,1
Road Debris,Concrete,Night / Low Light,3035.9,2.36,62.7,0.29,5.6,0.537,1
Normal Clear,Asphalt,Clear,188.5,1.3,10.24,0.046,0.0,0.02,0
Surface Crack,Concrete,Clear,325.1,2.72,44.09,0.81,2.5,0.568,1
Road Debris,Asphalt,Rainy,1036.7,1.49,58.34,0.217,3.7,0.407,1
Road Debris,Concrete,Overcast,3006.6,1.46,54.23,0.379,8.7,0.677,1
Normal Clear,Asphalt,Overcast,52.1,1.03,10.66,0.064,0.0,0.02,0
Pothole,Gravel,Clear,5289.7,1.14,43.7,0.293,12.3,0.741,1
Surface Crack,Asphalt,Clear,1632.2,3.66,48.78,0.378,0.9,0.337,1
Normal Clear,Asphalt,Clear,158.2,1.13,12.66,0.098,0.0,0.02,0
Normal Clear,Asphalt,Rainy,115.0,0.99,11.05,0.071,0.0,0.02,0
Surface Crack,Concrete,Rainy,1319.6,3.32,36.1,0.481,2.5,0.512,1
Road Debris,Asphalt,Overcast,2339.2,1.8,48.85,0.25,10.5,0.358,1
Pothole,Concrete,Overcast,7209.2,1.15,54.04,0.434,16.4,0.942,1
Pothole,Asphalt,Clear,4541.0,0.94,62.52,0.307,16.3,0.725,1
Surface Crack,Asphalt,Rainy,2005.2,4.46,40.31,0.592,1.2,0.528,1
Surface Crack,Asphalt,Overcast,1969.9,3.69,25.19,0.7,2.1,0.473,1
Road Debris,Gravel,Overcast,3537.6,1.63,42.64,0.375,10.8,0.596,1
Pothole,Concrete,Clear,3706.6,1.14,67.06,0.464,12.7,0.682,1
Normal Clear,Gravel,Clear,249.3,1.13,8.98,0.087,0.0,0.02,0
Normal Clear,Asphalt,Clear,218.5,0.8,11.88,0.073,0.0,0.02,0
Normal Clear,Asphalt,Clear,118.4,1.05,11.6,0.099,0.0,0.02,0
Road Debris,Concrete,Clear,3526.9,0.99,55.68,0.297,3.1,0.52,1
Surface Crack,Asphalt,Clear,2446.4,3.78,42.32,0.707,0.6,0.434,1
Normal Clear,Concrete,Rainy,244.0,1.11,14.39,0.084,0.0,0.02,0
Normal Clear,Gravel,Clear,198.5,0.51,11.98,0.063,0.0,0.02,0
Pothole,Concrete,Clear,4675.0,1.53,68.23,0.391,17.2,0.797,1
Normal Clear,Concrete,Clear,54.3,0.81,15.59,0.01,0.0,0.02,0
Normal Clear,Asphalt,Overcast,209.4,1.1,17.26,0.074,0.0,0.02,0
Normal Clear,Asphalt,Overcast,46.9,1.09,17.1,0.108,0.0,0.02,0
Normal Clear,Gravel,Rainy,116.9,1.02,9.87,0.055,0.0,0.02,0
Road Debris,Asphalt,Clear,3359.8,1.02,46.06,0.234,7.3,0.534,1
Surface Crack,Concrete,Overcast,1648.9,3.68,38.3,0.685,1.4,0.49,1
Normal Clear,Concrete,Clear,234.3,0.87,10.09,0.095,0.0,0.02,0
Normal Clear,Asphalt,Clear,231.1,0.9,6.67,0.099,0.0,0.02,0
Pothole,Gravel,Clear,5458.9,1.2,61.3,0.5,17.8,0.908,1
Pothole,Asphalt,Clear,4681.8,0.96,75.0,0.347,16.9,0.859,1
Surface Crack,Asphalt,Clear,2211.5,3.51,41.51,0.647,3.2,0.582,1
Normal Clear,Asphalt,Overcast,151.7,0.95,8.52,0.085,0.0,0.02,0
Normal Clear,Asphalt,Rainy,168.2,0.93,15.73,0.088,0.0,0.02,0
Pothole,Asphalt,Clear,2959.4,1.6,77.2,0.5,11.6,0.596,1
Road Debris,Asphalt,Overcast,2811.1,1.48,65.42,0.314,11.5,0.554,1
Surface Crack,Concrete,Clear,2961.8,3.2,40.84,0.565,1.6,0.405,1
Normal Clear,Gravel,Clear,106.0,0.97,12.41,0.072,0.0,0.02,0
Normal Clear,Asphalt,Rainy,32.2,1.31,16.35,0.093,0.0,0.02,0
Normal Clear,Asphalt,Rainy,245.4,0.8,19.55,0.051,0.0,0.02,0
Surface Crack,Gravel,Clear,1943.2,2.4,45.12,0.689,3.3,0.602,1
Surface Crack,Asphalt,Clear,1855.5,2.05,49.9,0.737,1.4,0.404,1
Pothole,Asphalt,Rainy,5967.3,0.7,81.6,0.585,16.8,0.863,1
Pothole,Asphalt,Night / Low Light,6515.6,1.13,71.38,0.47,12.8,0.778,1
Normal Clear,Asphalt,Rainy,175.8,1.21,8.9,0.064,0.0,0.02,0
Normal Clear,Asphalt,Clear,244.8,0.97,12.8,0.078,0.0,0.02,0
Normal Clear,Gravel,Clear,108.9,1.32,9.89,0.046,0.0,0.02,0
Normal Clear,Asphalt,Clear,127.5,0.6,9.39,0.051,0.0,0.02,0
Road Debris,Asphalt,Clear,3055.7,1.23,63.88,0.384,5.9,0.449,1
Normal Clear,Asphalt,Overcast,119.9,0.82,12.22,0.139,0.0,0.02,0
Normal Clear,Asphalt,Rainy,73.0,0.59,13.07,0.097,0.0,0.02,0
Normal Clear,Concrete,Clear,152.6,1.12,7.47,0.052,0.0,0.02,0
Pothole,Concrete,Night / Low Light,4648.7,1.73,74.73,0.469,6.6,0.4,1
Surface Crack,Concrete,Rainy,978.3,5.74,38.81,0.628,0.8,0.388,1
Pothole,Asphalt,Clear,4552.5,1.65,77.32,0.357,4.6,0.419,1
Normal Clear,Gravel,Overcast,141.4,0.97,21.4,0.108,0.0,0.02,0
Road Debris,Concrete,Overcast,1670.4,1.54,51.65,0.292,6.0,0.526,1
Pothole,Concrete,Night / Low Light,2913.1,1.3,90.94,0.26,15.8,0.68,1
Normal Clear,Asphalt,Clear,185.9,0.83,10.12,0.125,0.0,0.02,0
Road Debris,Asphalt,Rainy,2255.4,0.75,54.37,0.295,7.0,0.456,1
Surface Crack,Asphalt,Night / Low Light,2148.3,3.11,43.4,0.82,3.0,0.704,1
Pothole,Concrete,Clear,4503.5,1.25,55.15,0.378,4.1,0.497,1
Normal Clear,Asphalt,Clear,173.9,1.0,17.25,0.087,0.0,0.02,0
Road Debris,Asphalt,Overcast,3138.2,1.42,57.04,0.326,3.7,0.587,1
Normal Clear,Concrete,Clear,148.0,0.9,16.43,0.042,0.0,0.02,0
Road Debris,Concrete,Night / Low Light,2119.8,1.91,58.16,0.297,9.8,0.486,1
Normal Clear,Gravel,Rainy,196.2,0.9,6.22,0.062,0.0,0.02,0
Road Debris,Asphalt,Clear,2793.5,2.0,52.43,0.363,8.7,0.594,1
Road Debris,Concrete,Clear,1610.0,1.3,49.68,0.458,9.3,0.306,1
Normal Clear,Asphalt,Overcast,114.7,0.81,9.27,0.067,0.0,0.02,0
Surface Crack,Asphalt,Clear,1645.6,3.48,44.22,0.709,1.5,0.41,1
Pothole,Asphalt,Rainy,5968.6,1.48,74.29,0.427,4.3,0.414,1
Pothole,Asphalt,Night / Low Light,4732.2,0.91,61.86,0.545,8.4,0.568,1
Normal Clear,Asphalt,Night / Low Light,245.0,1.08,16.43,0.073,0.0,0.02,0
Road Debris,Concrete,Overcast,1296.1,1.74,60.69,0.304,10.8,0.339,1
Normal Clear,Asphalt,Rainy,113.2,1.04,5.72,0.084,0.0,0.02,0
Pothole,Concrete,Clear,3306.5,0.94,83.6,0.423,7.0,0.368,1
Pothole,Asphalt,Overcast,5996.8,1.24,86.5,0.527,11.6,0.61,1
Pothole,Asphalt,Rainy,4652.4,0.8,65.92,0.42,5.4,0.525,1
Surface Crack,Asphalt,Clear,1742.9,2.25,46.32,0.747,2.5,0.596,1
Road Debris,Asphalt,Clear,819.2,2.29,48.44,0.299,5.0,0.435,1
Surface Crack,Asphalt,Overcast,1937.1,3.71,40.5,0.555,2.0,0.491,1
Surface Crack,Asphalt,Clear,2434.7,4.5,48.46,0.56,1.6,0.378,1
Normal Clear,Asphalt,Night / Low Light,204.9,0.77,4.72,0.136,0.0,0.02,0
Surface Crack,Asphalt,Rainy,963.7,4.0,45.55,0.369,3.2,0.651,1
Road Debris,Asphalt,Clear,2145.3,1.08,46.32,0.208,5.7,0.374,1
Normal Clear,Gravel,Rainy,200.5,0.7,13.1,0.072,0.0,0.02,0
Surface Crack,Asphalt,Clear,1738.4,5.3,41.49,0.711,0.6,0.316,1
Road Debris,Concrete,Clear,4490.3,1.86,56.52,0.305,9.6,0.529,1
Normal Clear,Concrete,Rainy,126.0,1.33,4.61,0.064,0.0,0.02,0
Normal Clear,Gravel,Clear,89.6,1.08,7.55,0.093,0.0,0.02,0
Pothole,Concrete,Night / Low Light,4276.3,1.06,72.66,0.399,4.8,0.378,1
Normal Clear,Asphalt,Overcast,85.6,0.88,11.9,0.044,0.0,0.02,0
Surface Crack,Concrete,Night / Low Light,2656.9,1.91,43.25,0.777,3.1,0.549,1
Pothole,Concrete,Clear,4978.5,1.09,64.65,0.39,4.5,0.349,1
Surface Crack,Asphalt,Clear,1753.5,4.42,41.26,0.726,2.9,0.609,1
Normal Clear,Asphalt,Rainy,209.4,0.87,8.58,0.044,0.0,0.02,0
Surface Crack,Asphalt,Overcast,1909.7,1.76,48.7,0.639,1.5,0.476,1
Surface Crack,Concrete,Overcast,2036.3,1.59,36.51,0.683,2.8,0.586,1
Road Debris,Concrete,Overcast,2836.3,1.39,67.81,0.187,10.3,0.556,1
Pothole,Asphalt,Clear,3769.8,1.47,70.62,0.396,15.7,0.71,1
Pothole,Asphalt,Clear,6059.8,0.99,79.17,0.565,11.4,0.681,1
Pothole,Asphalt,Rainy,5215.9,0.85,65.63,0.302,8.7,0.589,1
Pothole,Asphalt,Clear,3947.5,1.19,71.28,0.372,10.0,0.579,1
Pothole,Gravel,Clear,5422.9,1.24,65.82,0.421,13.6,0.772,1
Pothole,Asphalt,Overcast,4064.6,0.74,65.37,0.439,7.7,0.562,1
Road Debris,Asphalt,Clear,2093.0,1.76,53.1,0.285,9.1,0.424,1
Pothole,Asphalt,Clear,5307.3,0.85,84.85,0.44,8.7,0.557,1
Surface Crack,Concrete,Clear,3355.0,2.02,64.43,0.637,1.3,0.442,1
Normal Clear,Asphalt,Overcast,76.1,0.9,16.41,0.085,0.0,0.02,0
Surface Crack,Concrete,Rainy,1482.1,4.69,38.34,0.66,3.2,0.541,1
Normal Clear,Asphalt,Night / Low Light,75.2,0.93,4.51,0.059,0.0,0.02,0
Pothole,Asphalt,Overcast,2858.1,1.35,73.25,0.396,16.2,0.659,1
Pothole,Asphalt,Clear,5321.7,0.88,84.54,0.592,16.0,0.837,1
Pothole,Asphalt,Rainy,3608.5,1.61,70.0,0.47,9.6,0.498,1
Pothole,Asphalt,Clear,5205.8,0.99,68.39,0.348,4.9,0.472,1
Pothole,Gravel,Clear,2492.4,0.56,82.95,0.303,10.4,0.492,1
Pothole,Concrete,Overcast,4555.5,1.42,85.93,0.436,8.4,0.547,1
Pothole,Gravel,Night / Low Light,4476.6,0.93,73.42,0.396,14.7,0.746,1
Pothole,Asphalt,Clear,3977.9,0.76,40.5,0.331,11.8,0.622,1
Surface Crack,Gravel,Clear,953.8,3.37,44.95,0.615,2.6,0.504,1
Pothole,Asphalt,Rainy,4005.1,0.76,79.66,0.431,8.6,0.503,1
Surface Crack,Asphalt,Clear,1131.8,3.27,47.42,0.619,0.6,0.358,1
Road Debris,Asphalt,Clear,794.9,1.44,58.25,0.366,6.5,0.492,1
Normal Clear,Asphalt,Clear,20.0,1.25,17.01,0.094,0.0,0.02,0
Pothole,Concrete,Clear,5258.0,1.85,56.45,0.431,10.7,0.738,1
Normal Clear,Asphalt,Overcast,189.7,1.4,16.95,0.127,0.0,0.02,0
Road Debris,Asphalt,Clear,3290.8,2.04,74.94,0.313,6.5,0.706,1
Pothole,Asphalt,Clear,6135.7,1.18,70.93,0.318,5.0,0.434,1
Normal Clear,Asphalt,Rainy,112.9,1.16,18.32,0.107,0.0,0.02,0
Normal Clear,Asphalt,Overcast,202.9,0.98,5.03,0.066,0.0,0.02,0
Pothole,Asphalt,Clear,4189.5,1.05,68.66,0.455,9.2,0.532,1
Pothole,Concrete,Clear,5678.3,1.32,66.05,0.436,11.2,0.688,1
Normal Clear,Concrete,Clear,121.6,1.1,13.16,0.081,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,196.5,0.87,9.7,0.08,0.0,0.02,0
Pothole,Asphalt,Rainy,3731.8,1.35,59.44,0.438,17.3,0.782,1
Pothole,Asphalt,Overcast,3610.2,1.5,78.52,0.144,5.5,0.366,1
Surface Crack,Concrete,Overcast,855.8,4.21,36.08,0.622,2.9,0.576,1
Surface Crack,Asphalt,Night / Low Light,1663.3,4.11,33.56,0.583,0.8,0.427,1
Road Debris,Asphalt,Rainy,3980.8,1.41,48.11,0.259,11.5,0.448,1
Surface Crack,Asphalt,Rainy,2106.5,3.11,35.96,0.674,2.9,0.582,1
Surface Crack,Asphalt,Clear,1302.4,4.45,41.95,0.629,2.5,0.512,1
Normal Clear,Asphalt,Overcast,163.4,1.23,15.61,0.052,0.0,0.02,0
Pothole,Concrete,Clear,3494.6,0.99,60.84,0.275,15.5,0.791,1
Pothole,Asphalt,Clear,4320.4,0.8,67.85,0.394,4.8,0.328,1
Normal Clear,Asphalt,Night / Low Light,149.0,1.29,14.08,0.089,0.0,0.02,0
Normal Clear,Concrete,Clear,84.0,1.11,14.66,0.088,0.0,0.02,0
Road Debris,Concrete,Rainy,2692.9,1.44,61.49,0.384,9.0,0.533,1
Road Debris,Asphalt,Rainy,1295.1,1.15,46.49,0.256,9.1,0.52,1
Pothole,Asphalt,Clear,4085.3,0.88,77.99,0.477,14.7,0.678,1
Surface Crack,Asphalt,Overcast,1849.7,4.32,44.76,0.702,2.9,0.576,1
Road Debris,Gravel,Clear,1622.7,1.13,44.76,0.313,2.1,0.473,1
Pothole,Asphalt,Clear,3388.2,1.04,49.83,0.464,7.6,0.55,1
Pothole,Gravel,Rainy,4301.2,1.18,67.07,0.544,7.4,0.391,1
